,MiTFg,NGFR,Sox10,AXL,timepoint_id,Timepoint,drug_id,Drugs,dose_id,Doses,Rep
138,3.783727248,2.990918407,3.637089529,3.395359289,1,0.5 h,1,Vem,1,0 uM,1
139,4.144482811,3.153522619,3.844925731,3.331240822,1,0.5 h,1,Vem,1,0 uM,1
140,3.59109443,2.787234431,3.643999991,2.985011254,1,0.5 h,1,Vem,1,0 uM,1
141,3.638217498,3.110708046,3.591854513,3.556520677,1,0.5 h,1,Vem,1,0 uM,1
142,3.793830911,2.915921932,3.562876299,3.362535163,1,0.5 h,1,Vem,1,0 uM,1
143,3.729305903,2.995385637,3.638237549,3.435906019,1,0.5 h,1,Vem,1,0 uM,1
144,3.911100253,3.064206451,3.83180049,3.482885021,1,0.5 h,1,Vem,1,0 uM,1
145,3.488549653,3.207548481,3.577753844,3.650062364,1,0.5 h,1,Vem,1,0 uM,1
146,3.833482759,2.987024204,3.866074852,3.396580015,1,0.5 h,1,Vem,1,0 uM,1
147,3.905001767,2.979852658,3.666992611,3.520571737,1,0.5 h,1,Vem,1,0 uM,1
148,3.728072814,3.045906417,3.751081506,3.783120593,1,0.5 h,1,Vem,1,0 uM,1
149,3.669739844,2.553072231,3.490427965,2.85975371,1,0.5 h,1,Vem,1,0 uM,1
150,3.73572942,3.031988222,3.58984273,3.420780852,1,0.5 h,1,Vem,1,0 uM,1
151,3.653803808,3.135699947,3.679175954,3.683377931,1,0.5 h,1,Vem,1,0 uM,1
152,3.64472846,3.083851819,3.596854816,3.771522984,1,0.5 h,1,Vem,1,0 uM,1
153,3.789667961,3.043693159,3.716738629,3.413881499,1,0.5 h,1,Vem,1,0 uM,1
154,3.750350929,3.189743718,3.721367262,4.05970026,1,0.5 h,1,Vem,1,0 uM,1
155,3.948510508,3.150676503,3.736746155,3.62687635,1,0.5 h,1,Vem,1,0 uM,1
156,3.71752496,2.998016654,3.353558443,3.881963544,1,0.5 h,1,Vem,1,0 uM,1
157,3.630363212,2.873655438,3.833687227,3.443072847,1,0.5 h,1,Vem,1,0 uM,1
158,3.590200623,2.908528116,3.630531865,3.516099004,1,0.5 h,1,Vem,1,0 uM,1
159,3.489050192,3.211744687,3.723286491,3.894181718,1,0.5 h,1,Vem,1,0 uM,1
160,3.684991866,3.032191459,3.587592644,3.84173604,1,0.5 h,1,Vem,1,0 uM,1
161,3.879971156,3.329586585,3.809628113,3.836633051,1,0.5 h,1,Vem,1,0 uM,1
162,3.569611696,3.049687945,3.593704226,3.49846428,1,0.5 h,1,Vem,1,0 uM,1
163,3.476459302,3.086375967,3.530254672,3.699210004,1,0.5 h,1,Vem,1,0 uM,1
164,3.9111938,3.358108509,3.836759262,3.625319308,1,0.5 h,1,Vem,1,0 uM,1
165,3.536172818,2.950708779,3.656138237,3.628015293,1,0.5 h,1,Vem,1,0 uM,1
